filename,start_time,end_time
UMAFall_Subject_02_Fall_backwardFall_1_2016-06-13_20-51-32.csv,0.2,4.0
UMAFall_Subject_02_Fall_backwardFall_2_2016-06-13_20-52-16.csv,0.12,4.8
UMAFall_Subject_02_Fall_backwardFall_3_2016-06-13_20-52-55.csv,0.359,4.0
UMAFall_Subject_02_Fall_backwardFall_4_2016-06-13_20-58-40.csv,0.8,5.0
UMAFall_Subject_02_Fall_backwardFall_6_2016-06-13_20-59-59.csv,0.1,3.5
UMAFall_Subject_02_Fall_forwardFall_1_2016-06-13_20-43-52.csv,0.1,3.7
UMAFall_Subject_02_Fall_forwardFall_2_2016-06-13_20-45-53.csv,0.224,4.0
UMAFall_Subject_02_Fall_forwardFall_2_2016-06-13_20-48-20.csv,0.2,4.7
UMAFall_Subject_02_Fall_forwardFall_3_2016-06-13_20-47-36.csv,0.3,4.8
UMAFall_Subject_02_Fall_forwardFall_4_2016-06-13_20-53-39.csv,0.387,4.42
UMAFall_Subject_02_Fall_forwardFall_5_2016-06-13_20-54-39.csv,0.111,3.8
UMAFall_Subject_02_Fall_forwardFall_6_2016-06-13_20-55-19.csv,0.335,3.88
UMAFall_Subject_02_Fall_lateralFall_2_2016-06-13_20-50-00.csv,0.1,7.0
UMAFall_Subject_02_Fall_lateralFall_3_2016-06-13_20-50-52.csv,0.2,4.3
UMAFall_Subject_02_Fall_lateralFall_4_2016-06-13_20-56-03.csv,0.111,5.2
UMAFall_Subject_02_Fall_lateralFall_5_2016-06-13_20-56-57.csv,0.2,4.7
UMAFall_Subject_02_Fall_lateralFall_6_2016-06-13_20-57-48.csv,0.1,5.1
UMAFall_Subject_04_Fall_backwardFall_2_2016-06-13_13-19-53.csv,1.6,12.4
UMAFall_Subject_04_Fall_backwardFall_3_2016-06-13_13-20-34.csv,0.4,10.0
UMAFall_Subject_04_Fall_forwardFall_1_2016-06-13_13-13-23.csv,0.2,4.3
UMAFall_Subject_04_Fall_forwardFall_3_2016-06-13_13-15-30.csv,0.1,5.0
UMAFall_Subject_04_Fall_forwardFall_4_2016-06-13_13-21-38.csv,1.0,5.3
UMAFall_Subject_04_Fall_forwardFall_5_2016-06-13_13-22-20.csv,0.0,5.5
UMAFall_Subject_04_Fall_forwardFall_6_2016-06-13_13-23-05.csv,0.0,6.0
UMAFall_Subject_04_Fall_lateralFall_1_2016-06-13_13-16-45.csv,1.0,4.4
UMAFall_Subject_04_Fall_lateralFall_2_2016-06-13_13-17-31.csv,0.9,5.3
UMAFall_Subject_04_Fall_lateralFall_3_2016-06-13_13-18-13.csv,1.43,5.5
UMAFall_Subject_05_Fall_backwardFall_1_2016-06-15_21-30-13.csv,0.0,4.4
UMAFall_Subject_05_Fall_backwardFall_2_2016-06-15_21-30-54.csv,1.5,6.0
UMAFall_Subject_05_Fall_backwardFall_3_2016-06-15_21-32-28.csv,1.0,5.0
UMAFall_Subject_05_Fall_backwardFall_4_2016-06-15_21-37-33.csv,0.788,4.7
UMAFall_Subject_05_Fall_backwardFall_5_2016-06-15_21-38-45.csv,1.5,5.0
UMAFall_Subject_05_Fall_backwardFall_6_2016-06-15_21-39-26.csv,0.639,5.0
UMAFall_Subject_05_Fall_forwardFall_1_2016-06-15_21-21-48.csv,0.0,4.558
UMAFall_Subject_05_Fall_forwardFall_2_2016-06-15_21-22-29.csv,0.811,5.363
UMAFall_Subject_05_Fall_forwardFall_3_2016-06-15_21-24-11.csv,1.5,6.0
UMAFall_Subject_05_Fall_forwardFall_4_2016-06-15_21-33-29.csv,0.328,5.0
UMAFall_Subject_05_Fall_forwardFall_5_2016-06-15_21-34-09.csv,0.0,10.0
UMAFall_Subject_05_Fall_forwardFall_6_2016-06-15_21-34-50.csv,0.0,6.0
UMAFall_Subject_05_Fall_lateralFall_1_2016-06-15_21-28-09.csv,1.5,5.5
UMAFall_Subject_05_Fall_lateralFall_3_2016-06-15_21-29-30.csv,0.1,5.0
UMAFall_Subject_05_Fall_lateralFall_5_2016-06-15_21-36-11.csv,2.0,5.5
UMAFall_Subject_05_Fall_lateralFall_6_2016-06-15_21-36-50.csv,2.0,6.6
UMAFall_Subject_06_Fall_backwardFall_1_2016-06-13_21-45-05.csv,0.25,4.0
