is_fall,filename,time_start,time_end,gyro_x_list_mean,gyro_x_list_std,gyro_x_list_min,gyro_x_list_max,gyro_x_list_rms,gyro_y_list_mean,gyro_y_list_std,gyro_y_list_min,gyro_y_list_max,gyro_y_list_rms,gyro_z_list_mean,gyro_z_list_std,gyro_z_list_min,gyro_z_list_max,gyro_z_list_rms,accel_x_list_mean,accel_x_list_std,accel_x_list_min,accel_x_list_max,accel_x_list_rms,accel_y_list_mean,accel_y_list_std,accel_y_list_min,accel_y_list_max,accel_y_list_rms,accel_z_list_mean,accel_z_list_std,accel_z_list_min,accel_z_list_max,accel_z_list_rms
0,D01/U01_R01,1970-01-01 00:00:00.000,1970-01-01 00:00:09.725,-0.24316757686757687,0.6635921562525773,-1.5,1.3,0.7004840678293797,-0.03263463203463202,0.552635894417494,-1.5,0.9,0.5480541235778514,0.01861016206016205,1.1442948003161566,-2.1,2.5,1.1329469168332142,-8.023522666666667,1.9092953816279106,-11.3,-0.8,8.24314361513454,-3.786048,1.210715734496675,-6.6,0.5,3.9712309673785864,3.6942746666666664,1.8172752599582254,0.5,9.9,4.109027244473103
0,D01/U01_R01,1970-01-01 00:00:06.225,1970-01-01 00:00:14.025,0.1348545466229677,0.5348955952305893,-0.7,1.5,0.5464217973196447,-0.06256817042606519,0.5917815194861754,-1.0,1.8,0.589165541609253,-0.5180418771287192,0.8331479483427354,-2.1,0.9,0.9739713446555819,-9.19,1.6229007721052364,-13.2,-5.9,9.329374618792933,-3.9845333333333337,0.9244937966505515,-5.9,-1.8,4.088288259025884,3.242866666666666,1.3450942628543616,0.2,5.9,3.5056065412738815
0,D01/U01_R03,1970-01-01 00:00:00.000,1970-01-01 00:00:08.900,-0.14780018004594278,0.9027284678288258,-2.6,1.2,0.9057953444998604,0.3002394895594048,0.5334261143476786,-1.3,1.2,0.6074506582180922,0.473394960265723,0.9678673298136271,-1.8,2.7,1.0687069819006212,-7.404086134453781,3.305500719651427,-12.9,-0.2,8.09495520641557,-3.312121848739496,2.199010967260834,-6.6,4.4,3.9634691105581097,5.034662464985995,2.3264048021442245,1.2,10.0,5.53640156181881
0,D01/U01_R03,1970-01-01 00:00:04.900,1970-01-01 00:00:13.625,0.4809182754116431,0.9780821567584846,-1.9,2.6,1.0811078571941153,0.36561204454065543,0.7269736625061897,-1.3,2.0,0.8072131434579769,0.14915936011707936,1.1277841469332803,-2.0,2.3,1.1263692357051853,-9.20283292929293,1.729814813608078,-12.9,-4.6,9.360798471715363,-3.82237722943723,1.0659008912836727,-6.6,-2.0,3.9653485975332323,3.507038585858586,1.5674834464266927,-0.5,6.5,3.834994642815848
0,D01/U02_R01,1970-01-01 00:00:00.000,1970-01-01 00:00:07.325,-0.5664673721650838,0.8010568666319272,-4.0,0.7,0.9745478670820709,0.21312183119448566,0.5122955316317442,-0.9,2.0,0.550107891623948,0.12931206276560966,0.46471882548813526,-0.8,1.2,0.4778764742111788,-7.706111294881589,3.791209041707146,-13.6,1.8,8.5714614837299,-2.4043570753756045,2.0281169356355373,-6.1,1.9,3.1323994132977644,2.971726317799847,3.076307940566743,0.6,10.8,4.255062213669073
0,D01/U02_R01,1970-01-01 00:00:03.800,1970-01-01 00:00:13.625,-0.5562862224643507,0.8914703693076776,-4.0,1.4,1.043206303791418,0.07144588068321382,0.37084812612711393,-0.9,0.6,0.3740083954479525,0.12099426396384479,0.47347993205648065,-0.8,1.2,0.4840859356056091,-9.462004631062952,1.4188680029693646,-13.6,-7.7,9.565691523351044,-3.7235180727554185,0.9999091609508044,-6.1,-1.7,3.852844248303647,1.4357553221288513,1.4128046415670834,0.5,8.3,2.004367721040764
0,D01/U02_R01,1970-01-01 00:00:07.500,1970-01-01 00:00:19.525,-0.4229745576396424,0.8675432869114938,-2.4,1.4,0.9573328595542647,-0.02641155439378648,0.33741587988818933,-0.8,0.6,0.3350672420368821,0.0009347563217284239,0.49008052211903547,-1.7,1.0,0.485155865229555,-9.326814872977899,1.0593670122635053,-12.6,-7.6,9.385589431257923,-3.7255783350421505,0.8538437075237417,-5.3,-2.1,3.820262036284393,0.9878288744588744,0.47728412795388464,-0.3,2.2,1.0950114251620633
0,D01/U02_R01,1970-01-01 00:00:13.725,1970-01-01 00:00:26.325,-0.12584862597145208,0.722936593925527,-2.1,1.4,0.7266515321106891,-0.18761898928366316,0.35505733226270725,-0.8,0.5,0.3984285132234685,-0.22766415426361078,0.5427894905279341,-1.7,1.0,0.5835743222106229,-6.37913132034632,4.1338688816528775,-11.6,1.6,7.5789452362652305,-2.312357647907648,3.2521474246309268,-10.0,4.8,3.9638278855091436,3.2037260966810965,3.7569125409207453,-0.7,10.5,4.908764091487847
0,D01/U02_R02,1970-01-01 00:00:00.000,1970-01-01 00:00:11.900,0.07212188296843401,0.7531047348941811,-1.6,1.1,0.7490160030924217,0.10185913787039481,0.3739909132025108,-0.6,0.8,0.38398841527132965,0.297120432163897,0.4699612930472506,-0.5,1.4,0.5520207385892778,-8.522699795186892,3.039496394989323,-13.4,1.9,9.038261966071172,-1.6229072196620586,1.5657890479180971,-4.5,2.7,2.244212396222757,3.3941940092165894,1.3621746868906455,2.0,8.1,3.6522544342166667
0,D01/U02_R02,1970-01-01 00:00:07.650,1970-01-01 00:00:17.925,-0.24453050356506245,0.9338795085009032,-3.1,1.2,0.956286298575753,-0.07286294563279856,0.37054632970655704,-0.7,0.7,0.3739886357312327,0.27536909536541887,0.5756909651624403,-0.9,1.5,0.6329453564918839,-9.412069636456733,1.2520222748236673,-13.4,-7.6,9.493327310412948,-1.580671577526416,1.3414121926663023,-3.6,2.2,2.0644421942067037,3.0852266210492023,0.5381591837352553,2.0,4.2,3.1308858657141267
0,D01/U02_R02,1970-01-01 00:00:12.625,1970-01-01 00:00:24.500,-0.2011255847222953,0.8256058424125408,-3.1,1.6,0.8416911593423634,-0.03729069229642539,0.35684280438408655,-0.7,0.7,0.3552191535261467,0.1565387625219392,0.503988439199545,-0.9,1.5,0.522904048637757,-9.107183573664207,0.877245347001073,-12.7,-7.3,9.148495004932641,-1.964766353169522,1.0826890786707162,-4.2,0.4,2.2380969931614785,2.992110311363128,0.4473482084193194,1.9,4.0,3.024705295818092
0,D01/U02_R03,1970-01-01 00:00:00.000,1970-01-01 00:00:10.150,-0.30009140384250343,0.8129703361326829,-3.8,0.7,0.8589279380385868,0.22361338797814206,0.6920585420431891,-0.8,3.0,0.720672652725014,0.2719939912923719,1.0249483195843547,-1.1,3.6,1.0504710409914075,-7.299968003663004,4.083527176783187,-12.4,1.3,8.34453253178151,-1.2679920879120878,2.382892325137475,-6.0,3.3,2.678136712631145,4.772636492673993,2.5618937002464346,1.9,9.5,5.404636198296665
0,D01/U02_R03,1970-01-01 00:00:04.525,1970-01-01 00:00:22.525,-0.12467181755706347,0.5435055115277431,-1.2,1.1,0.5522982331429231,0.006033115085812439,0.5077901197213515,-0.9,1.0,0.5027227745492844,0.10771828051484485,0.5007317846946928,-0.8,1.2,0.5072680768159341,-9.324789842743463,1.158780291990557,-11.7,-6.9,9.395084988499852,-2.6518985534293296,0.6072791122146044,-6.0,-2.1,2.719187029133907,3.1405556018693948,0.7574477264503621,1.9,5.2,3.228829819853001
0,D01/U03_R01,1970-01-01 00:00:00.000,1970-01-01 00:00:11.025,0.2531713592929961,1.0577250194864116,-2.4,2.5,1.0772661276011803,0.13884188490081073,0.21799045470005024,-0.3,0.8,0.2566057493049171,-0.22517527366806142,0.940059280230033,-3.1,2.2,0.9574659916734182,-9.556711231884059,2.393665787638113,-14.3,-2.1,9.846104445640922,-3.6399160628019325,0.9446376264217924,-5.7,-1.8,3.758122188618976,0.4410101449275362,2.661566168446301,-2.3,9.2,2.671468833351153
0,D01/U03_R03,1970-01-01 00:00:00.000,1970-01-01 00:00:08.700,0.40891840623144965,1.4037417214070338,-4.5,2.7,1.4485493664232767,0.1932444569922831,0.35531270174741153,-0.6,0.9,0.40132978192606944,0.32587548490157175,1.127210407467486,-2.4,2.6,1.1624913196702975,-8.372902352941175,2.780069687587324,-13.1,-1.8,8.813609109234022,-3.2476166666666666,1.5882069462567912,-6.4,2.6,3.6081806068525264,0.8970613725490197,3.388499331208436,-2.6,10.3,3.4723203005148515
