time,accel_x_list,accel_y_list,accel_z_list,gyro_x_list,gyro_y_list,gyro_z_list,filename
2018-07-11T13:01:20.801261,-0.934,-0.379,0.075,-7.134,-6.829,-12.195,13_10_1.csv
2018-07-11T13:01:20.847384,-0.912,-0.395,0.061,-9.512,-5.671,-2.012,13_10_1.csv
2018-07-11T13:01:20.962692,-0.928,-0.426,0.046,-10.427,0.244,22.5,13_10_1.csv
2018-07-11T13:01:21.046416,-0.938,-0.453,0.044,-15.671,-1.159,26.037,13_10_1.csv
2018-07-11T13:01:21.113094,-0.95,-0.474,0.053,-12.866,1.89,23.232,13_10_1.csv
2018-07-11T13:01:21.158716,-1.015,-0.476,0.048,-19.573,-1.341,14.39,13_10_1.csv
2018-07-11T13:01:21.207847,-1.015,-0.476,0.048,-23.902,-6.524,4.329,13_10_1.csv
2018-07-11T13:01:21.288563,-1.112,-0.46,-0.018,-7.622,-8.171,-27.256,13_10_1.csv
2018-07-11T13:01:21.347720,-1.049,-0.346,-0.048,-84.451,-42.561,-59.695,13_10_1.csv
2018-07-11T13:01:21.417908,-0.627,-0.276,0.164,-97.866,-11.951,-29.451,13_10_1.csv
2018-07-11T13:01:21.472554,-0.145,-0.434,0.079,-178.537,-132.805,-0.488,13_10_1.csv
2018-07-11T13:01:21.520182,-0.145,-0.434,0.079,-136.342,-94.573,-12.012,13_10_1.csv
2018-07-11T13:01:21.567809,-1.221,-1.156,-0.061,-39.085,-37.317,5.366,13_10_1.csv
2018-07-11T13:01:21.612930,-1.221,-1.156,-0.061,117.683,26.646,25.488,13_10_1.csv
2018-07-11T13:01:21.662562,-2.743,-1.535,-0.295,193.049,69.756,34.695,13_10_1.csv
2018-07-11T13:01:21.721219,-0.683,-0.342,0.251,115.305,79.817,-8.11,13_10_1.csv
2018-07-11T13:01:21.788899,0.193,0.134,0.25,-29.939,-32.866,-130.244,13_10_1.csv
2018-07-11T13:01:21.847556,0.193,0.134,0.25,2.5,-46.22,-110.854,13_10_1.csv
2018-07-11T13:01:21.901199,-0.167,-0.042,0.189,46.402,-63.841,-105.122,13_10_1.csv
2018-07-11T13:01:21.944816,-0.167,-0.042,0.189,39.939,-55.61,-107.317,13_10_1.csv
2018-07-11T13:01:21.995956,-0.231,-0.08,0.13,15.122,-62.439,-104.695,13_10_1.csv
2018-07-11T13:01:22.049098,-1.569,-1.319,0.158,61.524,-54.695,-68.659,13_10_1.csv
2018-07-11T13:01:22.097231,-1.569,-1.319,0.158,29.756,-15.427,51.159,13_10_1.csv
2018-07-11T13:01:22.143354,-2.27,-2.337,0.305,-3.78,106.402,201.707,13_10_1.csv
2018-07-11T13:01:22.192490,-0.207,-0.398,0.806,6.829,97.378,108.293,13_10_1.csv
2018-07-11T13:01:22.257665,-0.207,-0.398,0.806,-35.854,50.061,20.793,13_10_1.csv
2018-07-11T13:01:22.304795,0.304,0.089,0.481,-62.012,-7.744,-10.183,13_10_1.csv
2018-07-11T13:01:22.402060,0.109,-0.266,0.18,-89.146,-51.951,-12.378,13_10_1.csv
2018-07-11T13:01:22.449186,-0.206,-0.57,0.07,-31.098,-31.524,-22.073,13_10_1.csv
2018-07-11T13:01:22.507347,-0.206,-0.57,0.07,67.744,-11.585,-31.463,13_10_1.csv
2018-07-11T13:01:22.552467,-2.504,-1.45,-0.149,92.012,22.866,45.122,13_10_1.csv
2018-07-11T13:01:22.597593,-2.412,-1.735,-0.022,-33.841,42.622,85.671,13_10_1.csv
2018-07-11T13:01:22.650735,-2.412,-1.735,-0.022,-60.366,93.598,55.305,13_10_1.csv
2018-07-11T13:01:22.709898,-0.103,0.01,0.785,38.232,75.183,-62.805,13_10_1.csv
2018-07-11T13:01:22.754018,0.083,0.139,0.495,-6.098,-22.256,-44.024,13_10_1.csv
2018-07-11T13:01:22.799640,0.083,0.139,0.495,17.195,-91.22,-16.951,13_10_1.csv
2018-07-11T13:01:22.849275,-0.074,-0.163,0.226,-19.512,-74.878,-40.427,13_10_1.csv
2018-07-11T13:01:22.892390,-0.074,-0.163,0.226,-30.0,-69.756,-55.305,13_10_1.csv
2018-07-11T13:01:22.961577,-0.323,-0.305,0.03,39.817,-56.829,-60.854,13_10_1.csv
2018-07-11T13:01:23.055327,-2.593,-1.521,-0.234,-96.768,56.159,93.232,13_10_1.csv
2018-07-11T13:01:23.129526,-2.157,-1.779,0.022,49.756,184.512,140.488,13_10_1.csv
2018-07-11T13:01:23.210742,-0.067,0.163,0.907,-140.976,32.378,36.22,13_10_1.csv
2018-07-11T13:01:23.254860,-0.164,-0.479,0.364,-27.683,-93.415,50.366,13_10_1.csv
2018-07-11T13:01:23.373678,-0.402,-0.36,0.274,-36.28,-77.988,-91.159,13_10_1.csv
2018-07-11T13:01:23.505530,-1.901,-0.739,-0.227,104.39,-119.146,-98.171,13_10_1.csv
2018-07-11T13:01:23.595270,-1.843,-2.168,-0.323,2.744,284.451,173.842,13_10_1.csv
2018-07-11T13:01:23.643399,-0.694,-0.19,0.794,122.683,257.195,92.683,13_10_1.csv
2018-07-11T13:01:23.692028,-0.694,-0.19,0.794,1.341,25.427,-17.866,13_10_1.csv
2018-07-11T13:01:23.760712,-0.073,-0.094,0.522,-44.268,-52.012,-73.963,13_10_1.csv
2018-07-11T13:01:23.799816,-0.186,-0.288,0.313,61.28,3.11,-52.439,13_10_1.csv
2018-07-11T13:01:23.865993,-0.186,-0.288,0.313,105.793,7.439,-38.78,13_10_1.csv
2018-07-11T13:01:23.975786,-1.943,-1.128,-0.261,-77.073,-122.256,-109.695,13_10_1.csv
2018-07-11T13:01:24.020907,-1.943,-1.128,-0.261,-13.902,-47.561,46.037,13_10_1.csv
2018-07-11T13:01:24.086081,-3.177,-2.649,-0.172,-252.012,-75.061,62.073,13_10_1.csv
2018-07-11T13:01:24.133207,0.086,-1.002,0.826,-115.061,-7.073,141.037,13_10_1.csv
2018-07-11T13:01:24.179330,0.086,-1.002,0.826,25.244,92.622,65.061,13_10_1.csv
2018-07-11T13:01:24.224450,0.33,0.027,0.497,81.402,64.634,0.915,13_10_1.csv
2018-07-11T13:01:24.351290,-0.104,-0.188,0.182,23.11,-80.915,-10.671,13_10_1.csv
2018-07-11T13:01:24.409445,-0.182,-0.349,0.02,21.037,-110.793,-76.402,13_10_1.csv
2018-07-11T13:01:24.461584,-0.813,-0.687,-0.086,43.659,-106.037,-115.549,13_10_1.csv
2018-07-11T13:01:24.509713,-0.813,-0.687,-0.086,64.207,-29.939,-139.634,13_10_1.csv
2018-07-11T13:01:24.556839,-2.844,-1.835,-0.08,-3.659,58.415,-69.695,13_10_1.csv
2018-07-11T13:01:24.618504,-1.359,-1.599,0.755,-169.817,56.585,160.122,13_10_1.csv
2018-07-11T13:01:24.686184,0.229,-0.266,0.812,63.11,116.22,74.573,13_10_1.csv
2018-07-11T13:01:24.742836,0.229,-0.266,0.812,40.61,59.207,7.866,13_10_1.csv
2018-07-11T13:01:24.790462,0.013,-0.227,0.39,-22.439,-26.28,5.122,13_10_1.csv
2018-07-11T13:01:24.880704,-0.163,-0.33,0.26,65.915,-35.488,-31.22,13_10_1.csv
2018-07-11T13:01:24.946881,-0.557,-0.433,0.163,51.463,-82.012,-71.829,13_10_1.csv
2018-07-11T13:01:24.998519,-0.557,-0.433,0.163,108.232,-79.634,-99.451,13_10_1.csv
2018-07-11T13:01:25.054669,-2.374,-1.032,0.004,-12.256,-34.878,-56.22,13_10_1.csv
2018-07-11T13:01:25.131875,-2.104,-1.943,0.082,-158.354,40.0,159.329,13_10_1.csv
2018-07-11T13:01:25.183516,0.019,-0.852,0.67,-48.598,122.134,114.451,13_10_1.csv
2018-07-11T13:01:25.223623,0.019,-0.852,0.67,50.427,108.476,14.146,13_10_1.csv
2018-07-11T13:01:25.278774,0.173,0.082,0.346,52.5,90.183,-60.976,13_10_1.csv
2018-07-11T13:01:25.333422,-0.055,-0.167,0.221,-22.073,-51.524,-57.866,13_10_1.csv
2018-07-11T13:01:25.392081,-0.055,-0.167,0.221,19.939,-45.0,-51.585,13_10_1.csv
2018-07-11T13:01:25.456756,-0.161,-0.258,0.141,57.317,-16.585,-60.549,13_10_1.csv
2018-07-11T13:01:25.503380,-1.797,-1.149,-0.065,110.183,-14.939,-62.012,13_10_1.csv
2018-07-11T13:01:25.552010,-1.797,-1.149,-0.065,30.061,-71.524,-50.0,13_10_1.csv
2018-07-11T13:01:25.599637,-2.832,-2.748,0.005,-115.549,12.256,85.427,13_10_1.csv
2018-07-11T13:01:25.646765,-0.179,-0.998,0.647,-56.829,85.305,46.829,13_10_1.csv
2018-07-11T13:01:25.701913,-0.179,-0.998,0.647,111.342,155.671,-21.89,13_10_1.csv
2018-07-11T13:01:25.754057,0.204,0.3,0.429,113.232,67.439,-52.622,13_10_1.csv
2018-07-11T13:01:25.799179,0.204,0.3,0.429,27.378,-43.354,-57.805,13_10_1.csv
2018-07-11T13:01:25.849316,0.086,0.03,0.277,28.963,-65.183,-44.146,13_10_1.csv
2018-07-11T13:01:25.894437,0.019,-0.091,0.148,40.915,-50.061,-36.951,13_10_1.csv
2018-07-11T13:01:25.942570,0.019,-0.091,0.148,45.366,-59.695,-33.537,13_10_1.csv
2018-07-11T13:01:25.998721,-0.944,-0.979,0.089,67.683,-63.841,-33.354,13_10_1.csv
2018-07-11T13:01:26.069916,-2.657,-2.598,0.243,64.024,-1.89,65.793,13_10_1.csv
2018-07-11T13:01:26.116041,-2.657,-2.598,0.243,-153.11,22.256,120.61,13_10_1.csv
2018-07-11T13:01:26.160660,-0.855,-1.524,0.721,-164.756,90.732,140.0,13_10_1.csv
2018-07-11T13:01:26.215307,0.043,0.373,0.634,185.732,110.366,8.963,13_10_1.csv
2018-07-11T13:01:26.272459,0.043,0.373,0.634,-19.634,-37.683,-62.622,13_10_1.csv
2018-07-11T13:01:26.350167,0.194,0.083,0.224,-135.549,-92.256,-57.744,13_10_1.csv
2018-07-11T13:01:26.409827,0.208,-0.286,0.099,22.073,-12.561,-27.805,13_10_1.csv
